(T) | Epoch=030, loss=8.9499, con=8.2295, intent=2.4676, rec=0.0015, this epoch 1.2086, total 36.8711  alpha=[pap:0.495, psp:0.505]
(T) | Epoch=031, loss=8.8539, con=8.1309, intent=2.4660, rec=0.0011, this epoch 1.3288, total 38.1999
(T) | Epoch=032, loss=8.8421, con=8.1321, intent=2.4634, rec=0.0009, this epoch 1.1989, total 39.3988
(T) | Epoch=033, loss=8.9257, con=8.2303, intent=2.4624, rec=0.0012, this epoch 1.2178, total 40.6166
(T) | Epoch=034, loss=8.9535, con=8.2671, intent=2.4622, rec=0.0021, this epoch 1.2162, total 41.8328
(T) | Epoch=035, loss=8.9531, con=8.2705, intent=2.4619, rec=0.0025, this epoch 1.2519, total 43.0847
(T) | Epoch=036, loss=8.9474, con=8.2663, intent=2.4614, rec=0.0017, this epoch 1.1985, total 44.2832
(T) | Epoch=037, loss=8.9403, con=8.2565, intent=2.4606, rec=0.0033, this epoch 1.2090, total 45.4922
(T) | Epoch=038, loss=8.9216, con=8.2344, intent=2.4595, rec=0.0044, this epoch 1.2055, total 46.6977
(T) | Epoch=039, loss=8.8768, con=8.1863, intent=2.4584, rec=0.0042, this epoch 1.2575, total 47.9552
(T) | Epoch=040, loss=8.7916, con=8.0994, intent=2.4576, rec=0.0033, this epoch 1.1998, total 49.1550  alpha=[pap:0.563, psp:0.437]
(T) | Epoch=041, loss=8.7079, con=8.0170, intent=2.4581, rec=0.0040, this epoch 1.3563, total 50.5113
(T) | Epoch=042, loss=8.6910, con=8.0039, intent=2.4604, rec=0.0044, this epoch 1.2105, total 51.7218
(T) | Epoch=043, loss=8.7180, con=8.0354, intent=2.4627, rec=0.0045, this epoch 1.2614, total 52.9832
(T) | Epoch=044, loss=8.7382, con=8.0551, intent=2.4632, rec=0.0064, this epoch 1.2038, total 54.1870
(T) | Epoch=045, loss=8.7274, con=8.0420, intent=2.4621, rec=0.0060, this epoch 1.1853, total 55.3723
(T) | Epoch=046, loss=8.7014, con=8.0112, intent=2.4606, rec=0.0036, this epoch 1.1939, total 56.5662
(T) | Epoch=047, loss=8.6475, con=7.9516, intent=2.4598, rec=0.0046, this epoch 1.2328, total 57.7990
(T) | Epoch=048, loss=8.6238, con=7.9220, intent=2.4600, rec=0.0038, this epoch 1.2031, total 59.0021
(T) | Epoch=049, loss=8.6150, con=7.9103, intent=2.4604, rec=0.0045, this epoch 1.2091, total 60.2112
(T) | Epoch=050, loss=8.6297, con=7.9230, intent=2.4604, rec=0.0036, this epoch 1.2128, total 61.4240  alpha=[pap:0.542, psp:0.458]
(T) | Epoch=051, loss=8.6467, con=7.9397, intent=2.4599, rec=0.0044, this epoch 1.2782, total 62.7023
(T) | Epoch=052, loss=8.6420, con=7.9356, intent=2.4590, rec=0.0061, this epoch 1.3755, total 64.0777
(T) | Epoch=053, loss=8.6181, con=7.9122, intent=2.4581, rec=0.0045, this epoch 1.5060, total 65.5837
(T) | Epoch=054, loss=8.6111, con=7.9034, intent=2.4579, rec=0.0072, this epoch 1.4636, total 67.0474
(T) | Epoch=055, loss=8.6276, con=7.9163, intent=2.4582, rec=0.0091, this epoch 1.5611, total 68.6084
(T) | Epoch=056, loss=8.6590, con=7.9412, intent=2.4585, rec=0.0125, this epoch 1.8160, total 70.4245
(T) | Epoch=057, loss=8.6573, con=7.9324, intent=2.4585, rec=0.0120, this epoch 1.5321, total 71.9565
(T) | Epoch=058, loss=8.5810, con=7.8478, intent=2.4580, rec=0.0125, this epoch 1.5228, total 73.4793
(T) | Epoch=059, loss=8.5058, con=7.7641, intent=2.4579, rec=0.0116, this epoch 1.6162, total 75.0956
