(T) | Epoch=030, loss=9.6916, con=8.9709, intent=2.4590, rec=0.0010, this epoch 0.9647, total 29.5018  alpha=[pap:0.526, psp:0.474]
(T) | Epoch=031, loss=9.6909, con=8.9643, intent=2.4585, rec=0.0022, this epoch 0.9587, total 30.4605
(T) | Epoch=032, loss=9.6907, con=8.9547, intent=2.4577, rec=0.0019, this epoch 0.9589, total 31.4194
(T) | Epoch=033, loss=9.6736, con=8.9318, intent=2.4571, rec=0.0028, this epoch 0.9519, total 32.3713
(T) | Epoch=034, loss=9.6453, con=8.8997, intent=2.4576, rec=0.0024, this epoch 0.9719, total 33.3431
(T) | Epoch=035, loss=9.6557, con=8.9060, intent=2.4593, rec=0.0026, this epoch 0.9656, total 34.3087
(T) | Epoch=036, loss=9.6454, con=8.8969, intent=2.4600, rec=0.0035, this epoch 0.9684, total 35.2771
(T) | Epoch=037, loss=9.5562, con=8.8066, intent=2.4591, rec=0.0039, this epoch 0.9706, total 36.2478
(T) | Epoch=038, loss=9.9244, con=9.1675, intent=2.4649, rec=0.0189, this epoch 0.9504, total 37.1981
(T) | Epoch=039, loss=9.7697, con=9.0140, intent=2.4596, rec=0.0150, this epoch 0.9616, total 38.1597
(T) | Epoch=040, loss=9.5346, con=8.7819, intent=2.4573, rec=0.0100, this epoch 0.9619, total 39.1216  alpha=[pap:0.538, psp:0.462]
(T) | Epoch=041, loss=9.6602, con=8.9071, intent=2.4586, rec=0.0024, this epoch 1.1027, total 40.2243
(T) | Epoch=042, loss=9.7248, con=8.9692, intent=2.4590, rec=0.0017, this epoch 0.9695, total 41.1938
(T) | Epoch=043, loss=9.7678, con=9.0095, intent=2.4583, rec=0.0014, this epoch 0.9523, total 42.1460
(T) | Epoch=044, loss=9.7620, con=9.0047, intent=2.4568, rec=0.0014, this epoch 0.9619, total 43.1080
(T) | Epoch=045, loss=9.7402, con=8.9829, intent=2.4551, rec=0.0005, this epoch 0.9578, total 44.0658
(T) | Epoch=046, loss=9.7216, con=8.9700, intent=2.4538, rec=0.0003, this epoch 0.9868, total 45.0525
(T) | Epoch=047, loss=9.7110, con=8.9618, intent=2.4530, rec=0.0003, this epoch 0.9635, total 46.0161
(T) | Epoch=048, loss=9.7047, con=8.9591, intent=2.4528, rec=0.0002, this epoch 0.9613, total 46.9774
(T) | Epoch=049, loss=9.7021, con=8.9567, intent=2.4528, rec=0.0004, this epoch 0.9753, total 47.9527
(T) | Epoch=050, loss=9.7032, con=8.9566, intent=2.4530, rec=0.0002, this epoch 0.9694, total 48.9221  alpha=[pap:0.528, psp:0.472]
(T) | Epoch=051, loss=9.7033, con=8.9567, intent=2.4530, rec=0.0001, this epoch 1.0054, total 49.9275
(T) | Epoch=052, loss=9.6996, con=8.9540, intent=2.4529, rec=0.0001, this epoch 0.9654, total 50.8928
(T) | Epoch=053, loss=9.6942, con=8.9499, intent=2.4528, rec=0.0001, this epoch 0.9734, total 51.8663
(T) | Epoch=054, loss=9.6846, con=8.9413, intent=2.4525, rec=0.0002, this epoch 0.9763, total 52.8426
(T) | Epoch=055, loss=9.6651, con=8.9229, intent=2.4523, rec=0.0002, this epoch 0.9711, total 53.8137
(T) | Epoch=056, loss=9.6394, con=8.8981, intent=2.4521, rec=0.0003, this epoch 0.9808, total 54.7945
(T) | Epoch=057, loss=9.6095, con=8.8690, intent=2.4520, rec=0.0003, this epoch 0.9646, total 55.7591
(T) | Epoch=058, loss=9.5703, con=8.8301, intent=2.4518, rec=0.0002, this epoch 0.9697, total 56.7288
(T) | Epoch=059, loss=9.4990, con=8.7579, intent=2.4517, rec=0.0003, this epoch 0.9835, total 57.7123
(T) | Epoch=060, loss=9.3533, con=8.6119, intent=2.4518, rec=0.0003, this epoch 0.9566, total 58.6689  alpha=[pap:0.536, psp:0.464]
(T) | Epoch=061, loss=9.3719, con=8.6292, intent=2.4527, rec=0.0003, this epoch 1.1232, total 59.7921
(T) | Epoch=062, loss=9.3104, con=8.5672, intent=2.4533, rec=0.0003, this epoch 0.9678, total 60.7599
(T) | Epoch=063, loss=9.1598, con=8.4169, intent=2.4524, rec=0.0008, this epoch 0.9814, total 61.7414
(T) | Epoch=064, loss=9.2472, con=8.5046, intent=2.4523, rec=0.0007, this epoch 0.9742, total 62.7155
(T) | Epoch=065, loss=9.4583, con=8.7158, intent=2.4525, rec=0.0034, this epoch 0.9653, total 63.6808
