(T) | Epoch=033, loss=9.8380, con=9.1007, intent=2.4480, rec=0.0002, this epoch 2.9025, total 93.5366
(T) | Epoch=034, loss=9.8375, con=9.1006, intent=2.4477, rec=0.0004, this epoch 2.9233, total 96.4599
(T) | Epoch=035, loss=9.8371, con=9.1005, intent=2.4474, rec=0.0003, this epoch 2.9187, total 99.3786
(T) | Epoch=036, loss=9.8366, con=9.1003, intent=2.4472, rec=0.0003, this epoch 2.6804, total 102.0590
(T) | Epoch=037, loss=9.8361, con=9.1001, intent=2.4469, rec=0.0005, this epoch 2.7917, total 104.8507
(T) | Epoch=038, loss=9.8357, con=9.0999, intent=2.4467, rec=0.0004, this epoch 3.1178, total 107.9685
(T) | Epoch=039, loss=9.8352, con=9.0996, intent=2.4465, rec=0.0004, this epoch 2.9051, total 110.8735
(T) | Epoch=040, loss=9.8347, con=9.0993, intent=2.4463, rec=0.0004, this epoch 2.6230, total 113.4965
(T) | Epoch=041, loss=9.8342, con=9.0989, intent=2.4462, rec=0.0005, this epoch 3.2381, total 116.7346
(T) | Epoch=042, loss=9.8336, con=9.0985, intent=2.4461, rec=0.0004, this epoch 2.8669, total 119.6015
(T) | Epoch=043, loss=9.8330, con=9.0980, intent=2.4460, rec=0.0005, this epoch 2.7391, total 122.3406
(T) | Epoch=044, loss=9.8323, con=9.0974, intent=2.4459, rec=0.0005, this epoch 3.0267, total 125.3673
(T) | Epoch=045, loss=9.8315, con=9.0967, intent=2.4459, rec=0.0004, this epoch 2.8295, total 128.1968
(T) | Epoch=046, loss=9.8306, con=9.0959, intent=2.4458, rec=0.0005, this epoch 2.7892, total 130.9859
(T) | Epoch=047, loss=9.8296, con=9.0949, intent=2.4458, rec=0.0005, this epoch 2.8056, total 133.7916
(T) | Epoch=048, loss=9.8283, con=9.0938, intent=2.4458, rec=0.0005, this epoch 2.9504, total 136.7419
(T) | Epoch=049, loss=9.8268, con=9.0923, intent=2.4457, rec=0.0006, this epoch 2.8134, total 139.5553
(T) | Epoch=050, loss=9.8249, con=9.0905, intent=2.4457, rec=0.0006, this epoch 2.6908, total 142.2461
