(T) | Epoch=030, loss=8.9530, con=8.2086, intent=2.4738, rec=0.0072, this epoch 1.8003, total 55.3534  alpha=[pap:0.554, psp:0.446]
(T) | Epoch=031, loss=8.9589, con=8.2102, intent=2.4732, rec=0.0083, this epoch 1.8012, total 57.1546
(T) | Epoch=032, loss=8.9872, con=8.2334, intent=2.4739, rec=0.0186, this epoch 1.8094, total 58.9640
(T) | Epoch=033, loss=8.9825, con=8.2256, intent=2.4756, rec=0.0154, this epoch 1.8077, total 60.7717
(T) | Epoch=034, loss=8.9730, con=8.2149, intent=2.4775, rec=0.0153, this epoch 1.8659, total 62.6376
(T) | Epoch=035, loss=9.0104, con=8.2505, intent=2.4786, rec=0.0121, this epoch 1.8136, total 64.4512
(T) | Epoch=036, loss=9.0691, con=8.3086, intent=2.4775, rec=0.0090, this epoch 1.8497, total 66.3009
(T) | Epoch=037, loss=9.0807, con=8.3219, intent=2.4742, rec=0.0091, this epoch 1.7956, total 68.0965
(T) | Epoch=038, loss=8.9685, con=8.2075, intent=2.4709, rec=0.0194, this epoch 1.8024, total 69.8989
(T) | Epoch=039, loss=8.8571, con=8.0942, intent=2.4702, rec=0.0314, this epoch 1.8514, total 71.7503
(T) | Epoch=040, loss=8.8491, con=8.0840, intent=2.4702, rec=0.0468, this epoch 1.7898, total 73.5401  alpha=[pap:0.631, psp:0.369]
(T) | Epoch=041, loss=8.8621, con=8.0978, intent=2.4693, rec=0.0392, this epoch 1.9611, total 75.5012
(T) | Epoch=042, loss=8.8867, con=8.1225, intent=2.4682, rec=0.0346, this epoch 1.8525, total 77.3537
(T) | Epoch=043, loss=8.9015, con=8.1393, intent=2.4671, rec=0.0251, this epoch 1.7971, total 79.1508
(T) | Epoch=044, loss=8.9106, con=8.1499, intent=2.4660, rec=0.0169, this epoch 1.7902, total 80.9409
(T) | Epoch=045, loss=8.9080, con=8.1466, intent=2.4648, rec=0.0214, this epoch 1.7925, total 82.7334
(T) | Epoch=046, loss=8.8849, con=8.1229, intent=2.4637, rec=0.0171, this epoch 1.7946, total 84.5281
(T) | Epoch=047, loss=8.8374, con=8.0731, intent=2.4627, rec=0.0147, this epoch 1.8157, total 86.3437
(T) | Epoch=048, loss=8.7632, con=7.9945, intent=2.4623, rec=0.0061, this epoch 1.8050, total 88.1487
(T) | Epoch=049, loss=8.7164, con=7.9404, intent=2.4630, rec=0.0114, this epoch 1.7950, total 89.9437
(T) | Epoch=050, loss=8.7693, con=7.9942, intent=2.4644, rec=0.0118, this epoch 1.8441, total 91.7878  alpha=[pap:0.558, psp:0.442]
(T) | Epoch=051, loss=8.7326, con=7.9631, intent=2.4653, rec=0.0106, this epoch 1.7978, total 93.5856
