(T) | Epoch=035, loss=9.4903, con=8.7534, intent=2.4438, rec=0.0000, this epoch 1.3429, total 43.7311
(T) | Epoch=036, loss=9.4328, con=8.6962, intent=2.4433, rec=0.0000, this epoch 1.3362, total 45.0673
(T) | Epoch=037, loss=9.2655, con=8.5293, intent=2.4429, rec=0.0000, this epoch 1.1286, total 46.1959
(T) | Epoch=038, loss=8.9765, con=8.2404, intent=2.4426, rec=0.0000, this epoch 1.2283, total 47.4242
(T) | Epoch=039, loss=8.8828, con=8.1470, intent=2.4424, rec=0.0000, this epoch 1.1421, total 48.5663
(T) | Epoch=040, loss=9.0741, con=8.3386, intent=2.4424, rec=0.0000, this epoch 1.2517, total 49.8180
(T) | Epoch=041, loss=9.4352, con=8.7000, intent=2.4424, rec=0.0000, this epoch 1.2743, total 51.0923
(T) | Epoch=042, loss=9.5338, con=8.7988, intent=2.4423, rec=0.0000, this epoch 1.3281, total 52.4204
(T) | Epoch=043, loss=9.4710, con=8.7361, intent=2.4419, rec=0.0000, this epoch 1.1475, total 53.5679
(T) | Epoch=044, loss=9.1802, con=8.4455, intent=2.4416, rec=0.0000, this epoch 1.3021, total 54.8700
(T) | Epoch=045, loss=8.9385, con=8.2039, intent=2.4414, rec=0.0000, this epoch 1.3516, total 56.2216
(T) | Epoch=046, loss=8.8394, con=8.1049, intent=2.4414, rec=0.0000, this epoch 1.1988, total 57.4204
(T) | Epoch=047, loss=8.8722, con=8.1377, intent=2.4416, rec=0.0001, this epoch 1.3315, total 58.7519
(T) | Epoch=048, loss=9.0220, con=8.2873, intent=2.4417, rec=0.0001, this epoch 1.1447, total 59.8966
(T) | Epoch=049, loss=9.1959, con=8.4610, intent=2.4416, rec=0.0000, this epoch 1.2339, total 61.1305
(T) | Epoch=050, loss=9.2851, con=8.5503, intent=2.4414, rec=0.0002, this epoch 1.0970, total 62.2275
(T) | Epoch=051, loss=9.3045, con=8.5699, intent=2.4412, rec=0.0001, this epoch 1.3580, total 63.5856
(T) | Epoch=052, loss=9.2786, con=8.5441, intent=2.4410, rec=0.0002, this epoch 1.3977, total 64.9833
(T) | Epoch=053, loss=9.2017, con=8.4672, intent=2.4410, rec=0.0001, this epoch 1.2051, total 66.1884
(T) | Epoch=054, loss=9.0747, con=8.3402, intent=2.4411, rec=0.0004, this epoch 1.2717, total 67.4601
(T) | Epoch=055, loss=8.9460, con=8.2118, intent=2.4411, rec=0.0002, this epoch 1.1286, total 68.5887
(T) | Epoch=056, loss=8.8185, con=8.0846, intent=2.4411, rec=0.0003, this epoch 1.2431, total 69.8318
(T) | Epoch=057, loss=8.7595, con=8.0258, intent=2.4411, rec=0.0001, this epoch 1.0948, total 70.9267
(T) | Epoch=058, loss=8.7658, con=8.0322, intent=2.4411, rec=0.0009, this epoch 1.3933, total 72.3200
(T) | Epoch=059, loss=8.8159, con=8.0823, intent=2.4410, rec=0.0002, this epoch 1.2793, total 73.5993
(T) | Epoch=060, loss=8.8709, con=8.1373, intent=2.4410, rec=0.0002, this epoch 1.0901, total 74.6893
(T) | Epoch=061, loss=8.9395, con=8.2061, intent=2.4410, rec=0.0002, this epoch 1.2738, total 75.9632
(T) | Epoch=062, loss=8.9427, con=8.2093, intent=2.4409, rec=0.0004, this epoch 1.1271, total 77.0903
(T) | Epoch=063, loss=8.8609, con=8.1276, intent=2.4409, rec=0.0004, this epoch 1.3340, total 78.4243
(T) | Epoch=064, loss=8.8271, con=8.0938, intent=2.4410, rec=0.0005, this epoch 1.1054, total 79.5297
