(T) | Epoch=031, loss=9.2936, con=8.5459, intent=2.4733, rec=0.0552, this epoch 2.0089, total 63.6740
(T) | Epoch=032, loss=9.3099, con=8.5624, intent=2.4702, rec=0.0349, this epoch 1.9083, total 65.5823
(T) | Epoch=033, loss=9.2206, con=8.4698, intent=2.4655, rec=0.0504, this epoch 2.0371, total 67.6194
(T) | Epoch=034, loss=9.0733, con=8.3234, intent=2.4625, rec=0.0248, this epoch 1.9539, total 69.5732
(T) | Epoch=035, loss=8.9709, con=8.2196, intent=2.4619, rec=0.0164, this epoch 1.9755, total 71.5487
(T) | Epoch=036, loss=8.9402, con=8.1877, intent=2.4623, rec=0.0147, this epoch 1.8796, total 73.4283
(T) | Epoch=037, loss=8.9143, con=8.1606, intent=2.4624, rec=0.0166, this epoch 2.0668, total 75.4951
(T) | Epoch=038, loss=8.8908, con=8.1367, intent=2.4624, rec=0.0145, this epoch 1.9697, total 77.4647
(T) | Epoch=039, loss=8.9366, con=8.1820, intent=2.4624, rec=0.0151, this epoch 1.9335, total 79.3982
(T) | Epoch=040, loss=8.8725, con=8.1175, intent=2.4610, rec=0.0158, this epoch 1.9601, total 81.3583  alpha=[mam:0.282, mdm:0.718]
(T) | Epoch=041, loss=8.8541, con=8.0991, intent=2.4595, rec=0.0117, this epoch 2.2924, total 83.6507
(T) | Epoch=042, loss=9.0015, con=8.2465, intent=2.4588, rec=0.0125, this epoch 1.8901, total 85.5408
(T) | Epoch=043, loss=8.8415, con=8.0855, intent=2.4578, rec=0.0111, this epoch 2.0172, total 87.5580
(T) | Epoch=044, loss=8.8017, con=8.0438, intent=2.4582, rec=0.0199, this epoch 1.8748, total 89.4328
(T) | Epoch=045, loss=9.0505, con=8.2933, intent=2.4595, rec=0.0201, this epoch 2.3277, total 91.7605
(T) | Epoch=046, loss=9.1385, con=8.3813, intent=2.4599, rec=0.0260, this epoch 1.9478, total 93.7083
(T) | Epoch=047, loss=9.0992, con=8.3422, intent=2.4592, rec=0.0228, this epoch 1.9665, total 95.6748
(T) | Epoch=048, loss=8.9665, con=8.2083, intent=2.4582, rec=0.0277, this epoch 1.9340, total 97.6088
(T) | Epoch=049, loss=8.7921, con=8.0324, intent=2.4576, rec=0.0266, this epoch 2.3029, total 99.9117
(T) | Epoch=050, loss=8.6745, con=7.9142, intent=2.4576, rec=0.0202, this epoch 2.0112, total 101.9229  alpha=[mam:0.180, mdm:0.820]
(T) | Epoch=051, loss=8.6901, con=7.9304, intent=2.4577, rec=0.0103, this epoch 1.9763, total 103.8991
(T) | Epoch=052, loss=8.7749, con=8.0158, intent=2.4574, rec=0.0120, this epoch 1.9406, total 105.8397
(T) | Epoch=053, loss=8.8199, con=8.0621, intent=2.4567, rec=0.0074, this epoch 2.0510, total 107.8907
