(T) | Epoch=029, loss=8.0536, con=7.2739, intent=2.5024, rec=0.0270, this epoch 1.7417, total 51.5346
(T) | Epoch=030, loss=8.0289, con=7.2498, intent=2.4998, rec=0.0286, this epoch 1.7479, total 53.2826  alpha=[apa:0.560, apcpa:0.243, aptpa:0.197]
(T) | Epoch=031, loss=8.0261, con=7.2468, intent=2.4981, rec=0.0300, this epoch 1.7992, total 55.0818
(T) | Epoch=032, loss=8.0245, con=7.2458, intent=2.4975, rec=0.0315, this epoch 1.7417, total 56.8235
(T) | Epoch=033, loss=8.0264, con=7.2473, intent=2.4979, rec=0.0336, this epoch 1.7638, total 58.5873
(T) | Epoch=034, loss=8.0508, con=7.2705, intent=2.4990, rec=0.0313, this epoch 1.7642, total 60.3515
(T) | Epoch=035, loss=8.0820, con=7.3012, intent=2.5003, rec=0.0310, this epoch 1.7434, total 62.0949
(T) | Epoch=036, loss=8.0822, con=7.2992, intent=2.5016, rec=0.0371, this epoch 1.7466, total 63.8415
(T) | Epoch=037, loss=8.0383, con=7.2549, intent=2.5025, rec=0.0334, this epoch 1.7815, total 65.6230
(T) | Epoch=038, loss=7.9761, con=7.1934, intent=2.5030, rec=0.0310, this epoch 1.7470, total 67.3700
(T) | Epoch=039, loss=7.9319, con=7.1487, intent=2.5029, rec=0.0325, this epoch 1.7417, total 69.1117
(T) | Epoch=040, loss=7.9276, con=7.1457, intent=2.5021, rec=0.0300, this epoch 1.8031, total 70.9149  alpha=[apa:0.660, apcpa:0.194, aptpa:0.146]
(T) | Epoch=041, loss=7.9470, con=7.1650, intent=2.5007, rec=0.0396, this epoch 1.9971, total 72.9120
(T) | Epoch=042, loss=7.9738, con=7.1933, intent=2.4990, rec=0.0337, this epoch 1.7727, total 74.6847
(T) | Epoch=043, loss=7.9892, con=7.2097, intent=2.4974, rec=0.0329, this epoch 1.8535, total 76.5383
(T) | Epoch=044, loss=7.9917, con=7.2131, intent=2.4961, rec=0.0324, this epoch 1.7459, total 78.2842
