(T) | Epoch=035, loss=8.0754, con=7.3336, intent=2.4619, rec=0.0008, this epoch 0.3677, total 13.6235
(T) | Epoch=036, loss=8.0667, con=7.3251, intent=2.4617, rec=0.0008, this epoch 0.3707, total 13.9941
(T) | Epoch=037, loss=8.0575, con=7.3159, intent=2.4614, rec=0.0010, this epoch 0.3680, total 14.3621
(T) | Epoch=038, loss=8.0524, con=7.3109, intent=2.4611, rec=0.0007, this epoch 0.3702, total 14.7323
(T) | Epoch=039, loss=8.1408, con=7.3992, intent=2.4609, rec=0.0007, this epoch 0.3719, total 15.1042
(T) | Epoch=040, loss=8.2106, con=7.4689, intent=2.4607, rec=0.0005, this epoch 0.3716, total 15.4758
(T) | Epoch=041, loss=8.1445, con=7.4029, intent=2.4605, rec=0.0006, this epoch 0.4365, total 15.9123
(T) | Epoch=042, loss=8.0170, con=7.2756, intent=2.4604, rec=0.0007, this epoch 0.3704, total 16.2827
(T) | Epoch=043, loss=7.9529, con=7.2117, intent=2.4602, rec=0.0011, this epoch 0.3744, total 16.6571
(T) | Epoch=044, loss=7.9913, con=7.2503, intent=2.4601, rec=0.0012, this epoch 0.3789, total 17.0360
(T) | Epoch=045, loss=8.0363, con=7.2955, intent=2.4601, rec=0.0012, this epoch 0.3717, total 17.4077
(T) | Epoch=046, loss=8.0624, con=7.3216, intent=2.4600, rec=0.0016, this epoch 0.3785, total 17.7862
(T) | Epoch=047, loss=8.0813, con=7.3406, intent=2.4599, rec=0.0010, this epoch 0.3706, total 18.1568
(T) | Epoch=048, loss=8.0751, con=7.3345, intent=2.4598, rec=0.0010, this epoch 0.3699, total 18.5268
(T) | Epoch=049, loss=8.0257, con=7.2850, intent=2.4597, rec=0.0015, this epoch 0.3717, total 18.8984
(T) | Epoch=050, loss=7.9674, con=7.2268, intent=2.4596, rec=0.0014, this epoch 0.3799, total 19.2783
(T) | Epoch=051, loss=7.9678, con=7.2272, intent=2.4596, rec=0.0015, this epoch 0.3707, total 19.6490
(T) | Epoch=052, loss=8.0126, con=7.2721, intent=2.4596, rec=0.0012, this epoch 0.3717, total 20.0206
(T) | Epoch=053, loss=8.0331, con=7.2926, intent=2.4596, rec=0.0017, this epoch 0.3720, total 20.3926
(T) | Epoch=054, loss=8.0079, con=7.2675, intent=2.4596, rec=0.0017, this epoch 0.3728, total 20.7654
(T) | Epoch=055, loss=7.9608, con=7.2203, intent=2.4596, rec=0.0021, this epoch 0.3765, total 21.1419
(T) | Epoch=056, loss=7.9315, con=7.1911, intent=2.4595, rec=0.0014, this epoch 0.3820, total 21.5239
(T) | Epoch=057, loss=7.9425, con=7.2021, intent=2.4595, rec=0.0013, this epoch 0.3756, total 21.8995
(T) | Epoch=058, loss=7.9774, con=7.2369, intent=2.4594, rec=0.0013, this epoch 0.3702, total 22.2697
(T) | Epoch=059, loss=8.0045, con=7.2639, intent=2.4594, rec=0.0017, this epoch 0.3809, total 22.6506
(T) | Epoch=060, loss=8.0043, con=7.2637, intent=2.4593, rec=0.0013, this epoch 0.3703, total 23.0209
(T) | Epoch=061, loss=7.9673, con=7.2264, intent=2.4593, rec=0.0019, this epoch 0.4408, total 23.4616
(T) | Epoch=062, loss=7.9184, con=7.1774, intent=2.4592, rec=0.0023, this epoch 0.3733, total 23.8350
(T) | Epoch=063, loss=7.8719, con=7.1310, intent=2.4592, rec=0.0018, this epoch 0.3743, total 24.2093
(T) | Epoch=064, loss=7.8537, con=7.1127, intent=2.4592, rec=0.0024, this epoch 0.3745, total 24.5837
(T) | Epoch=065, loss=7.8726, con=7.1316, intent=2.4593, rec=0.0023, this epoch 0.3827, total 24.9664
(T) | Epoch=066, loss=7.9099, con=7.1688, intent=2.4593, rec=0.0028, this epoch 0.3710, total 25.3374
(T) | Epoch=067, loss=7.9370, con=7.1959, intent=2.4593, rec=0.0035, this epoch 0.3712, total 25.7086
(T) | Epoch=068, loss=7.9343, con=7.1933, intent=2.4593, rec=0.0034, this epoch 0.3693, total 26.0779
(T) | Epoch=069, loss=7.9001, con=7.1592, intent=2.4593, rec=0.0033, this epoch 0.3790, total 26.4569
(T) | Epoch=070, loss=7.8538, con=7.1128, intent=2.4592, rec=0.0040, this epoch 0.3686, total 26.8255
(T) | Epoch=071, loss=7.8306, con=7.0894, intent=2.4592, rec=0.0057, this epoch 0.3724, total 27.1979
(T) | Epoch=072, loss=7.8424, con=7.1014, intent=2.4591, rec=0.0053, this epoch 0.3755, total 27.5733
(T) | Epoch=073, loss=7.8549, con=7.1139, intent=2.4591, rec=0.0055, this epoch 0.3683, total 27.9417
(T) | Epoch=074, loss=7.8497, con=7.1089, intent=2.4590, rec=0.0049, this epoch 0.3707, total 28.3124
(T) | Epoch=075, loss=7.8532, con=7.1125, intent=2.4590, rec=0.0048, this epoch 0.3748, total 28.6872
(T) | Epoch=076, loss=7.8600, con=7.1195, intent=2.4589, rec=0.0043, this epoch 0.3755, total 29.0627
(T) | Epoch=077, loss=7.8498, con=7.1092, intent=2.4589, rec=0.0050, this epoch 0.3711, total 29.4338
(T) | Epoch=078, loss=7.8703, con=7.1297, intent=2.4589, rec=0.0048, this epoch 0.3753, total 29.8090
(T) | Epoch=079, loss=7.9150, con=7.1745, intent=2.4588, rec=0.0040, this epoch 0.3758, total 30.1849
(T) | Epoch=080, loss=7.8924, con=7.1517, intent=2.4588, rec=0.0051, this epoch 0.3701, total 30.5550
(T) | Epoch=081, loss=7.8110, con=7.0698, intent=2.4588, rec=0.0053, this epoch 0.4386, total 30.9935
(T) | Epoch=082, loss=7.8036, con=7.0624, intent=2.4588, rec=0.0058, this epoch 0.3798, total 31.3734
(T) | Epoch=083, loss=7.8700, con=7.1287, intent=2.4588, rec=0.0074, this epoch 0.3772, total 31.7506
(T) | Epoch=084, loss=7.9052, con=7.1640, intent=2.4588, rec=0.0061, this epoch 0.3715, total 32.1220
(T) | Epoch=085, loss=7.9029, con=7.1618, intent=2.4588, rec=0.0064, this epoch 0.3754, total 32.4974
(T) | Epoch=086, loss=7.9039, con=7.1631, intent=2.4588, rec=0.0053, this epoch 0.3756, total 32.8730
(T) | Epoch=087, loss=7.9092, con=7.1683, intent=2.4588, rec=0.0062, this epoch 0.4119, total 33.2849
(T) | Epoch=088, loss=7.8974, con=7.1566, intent=2.4588, rec=0.0060, this epoch 0.3702, total 33.6551
(T) | Epoch=089, loss=7.8799, con=7.1391, intent=2.4588, rec=0.0063, this epoch 0.3700, total 34.0252
(T) | Epoch=090, loss=7.8822, con=7.1413, intent=2.4588, rec=0.0056, this epoch 0.3716, total 34.3968
(T) | Epoch=091, loss=7.8999, con=7.1590, intent=2.4587, rec=0.0052, this epoch 0.3800, total 34.7767
(T) | Epoch=092, loss=7.9181, con=7.1771, intent=2.4587, rec=0.0047, this epoch 0.3895, total 35.1662
(T) | Epoch=093, loss=7.9442, con=7.2031, intent=2.4587, rec=0.0045, this epoch 0.3730, total 35.5392
(T) | Epoch=094, loss=7.9772, con=7.2363, intent=2.4586, rec=0.0044, this epoch 0.3864, total 35.9256
(T) | Epoch=095, loss=7.9849, con=7.2442, intent=2.4586, rec=0.0047, this epoch 0.3765, total 36.3021
(T) | Epoch=096, loss=7.9406, con=7.1999, intent=2.4586, rec=0.0047, this epoch 0.3698, total 36.6719
(T) | Epoch=097, loss=7.8610, con=7.1203, intent=2.4586, rec=0.0042, this epoch 0.3708, total 37.0427
(T) | Epoch=098, loss=7.8155, con=7.0748, intent=2.4586, rec=0.0052, this epoch 0.3694, total 37.4120
(T) | Epoch=099, loss=7.8587, con=7.1181, intent=2.4586, rec=0.0053, this epoch 0.3725, total 37.7845
(T) | Epoch=100, loss=7.9423, con=7.2019, intent=2.4586, rec=0.0042, this epoch 0.3736, total 38.1581
(T) | Epoch=101, loss=7.9920, con=7.2520, intent=2.4586, rec=0.0044, this epoch 0.4406, total 38.5988
