[log] 运行日志写入: log/run_ACM_20260831_162753.log
[config] cand_sources=embed num_cand_per_node=5 cand_label_mode=soft cand_dist_k=16 cand_dist_tau=0.2 lambda_cand_bce=0.0 lambda_ic_spnm=0.0 ic_spnm_pos=20 ic_spnm_neg=256 ic_spnm_hard_pool=2048 ic_spnm_pos_mode=neighbor ic_spnm_frontier_ratio=0.5 ic_spnm_frontier_hops=2 lambda_ilssc=0.0 ilssc_seed_size=8 ilssc_neg=256 ilssc_hard_pool=2048 ilssc_hops=2 ilssc_neg_mode=conservative ilssc_gate_mode=prior ilssc_high_order_beta=0.0 ilssc_warmup=0 ilssc_ramp=0 ilssc_use_intent_dist=False intent_dist_k=16 intent_dist_tau=0.2 intent_dist_beta=0.5 intent_dist_proto_mode=random intent_dist_stable=False intent_dist_update_interval=10 intent_dist_ema=0.7 intent_dist_anchor_pool=0 intent_dist_conf_tau=0.05 intent_dist_min_conf=0.0 relation_fusion=icra cs_topk=(10, 20, 50, 'oracle') cs_w_list=(0.0, 0.1, 0.2, 0.3, 0.5, 0.7, 1.0, 1.5, 2.0) greedy_patience=0 greedy_min_gain_tol=0.0 greedy_size_penalty=0.0 greedy_balance_alpha=0.15 greedy_max_size=0 greedy_adaptive_cap_alpha=0.0 greedy_adaptive_cap_floor=0 greedy_trace_cap_ratio=1.5 trace_early_stop_w=None frontier_batch_size=1 greedy_connectivity_boost=0.0 greedy_select_mode=first_drop greedy_init_seed_size=1 greedy_init_seed_hops=1 greedy_init_seed_conn_beta=0.3 greedy_high_order_beta=0.0 greedy_comm_cohesion_beta=0.0 greedy_comm_direct_beta=0.0 greedy_boundary_gamma=0.0 greedy_hse_pool_size=0 greedy_hse_normalize=False greedy_hse_density=False greedy_recall_expand_size=0 greedy_recall_min_sim_delta=0.0 acs_seed_topk=0 acs_rec_radius=2 acs_anomaly_boost=0.0 include_query_in_pred=False eval_perturb=none:0.0 model_name=None seed=123
Using CPU
Using GPU: NVIDIA GeForce RTX 3090
  [cs_full_graph] ACM: merged ['pap.npz', 'psp.npz'] -> 4359766 directed edges (no sparsify)
[data] Graph size: 4019 nodes, 53834 edges
[data] GPU memory: 25.3 GB
[data] Using high-memory thresholds (80K nodes, 500K edges)
[intent] source=random, dim=256
[encoder] vanilla GCNConv
(T) | Epoch=001, loss=10.3814, con=8.9916, intent=4.8414, rec=0.0063, this epoch 1.3227, total 1.3227
(T) | Epoch=002, loss=10.2350, con=8.9905, intent=4.1931, rec=0.0120, this epoch 0.8503, total 2.1730
(T) | Epoch=003, loss=10.0994, con=8.9889, intent=3.6800, rec=0.0031, this epoch 0.8737, total 3.0467
(T) | Epoch=004, loss=9.9832, con=8.9802, intent=3.2930, rec=0.0010, this epoch 0.8931, total 3.9398
(T) | Epoch=005, loss=9.9091, con=8.9856, intent=3.0164, rec=0.0004, this epoch 0.8524, total 4.7922
(T) | Epoch=006, loss=9.8551, con=8.9871, intent=2.8289, rec=0.0000, this epoch 0.9114, total 5.7036
(T) | Epoch=007, loss=9.8192, con=8.9874, intent=2.7082, rec=0.0000, this epoch 0.8897, total 6.5933
(T) | Epoch=008, loss=9.7964, con=8.9871, intent=2.6343, rec=0.0000, this epoch 0.8493, total 7.4426
(T) | Epoch=009, loss=9.7812, con=8.9859, intent=2.5897, rec=0.0000, this epoch 0.8533, total 8.2959
(T) | Epoch=010, loss=9.7687, con=8.9827, intent=2.5608, rec=0.0000, this epoch 0.8419, total 9.1378
(T) | Epoch=011, loss=9.7512, con=8.9723, intent=2.5390, rec=0.0000, this epoch 0.8365, total 9.9743
(T) | Epoch=012, loss=9.6892, con=8.9163, intent=2.5211, rec=0.0000, this epoch 0.8593, total 10.8336
(T) | Epoch=013, loss=9.7025, con=8.9351, intent=2.5048, rec=0.0000, this epoch 0.8278, total 11.6614
(T) | Epoch=014, loss=9.6908, con=8.9272, intent=2.4948, rec=0.0000, this epoch 0.8420, total 12.5033
(T) | Epoch=015, loss=9.6530, con=8.8926, intent=2.4864, rec=0.0000, this epoch 0.8380, total 13.3414
(T) | Epoch=016, loss=9.6430, con=8.8852, intent=2.4792, rec=0.0000, this epoch 0.8480, total 14.1894
(T) | Epoch=017, loss=9.5228, con=8.7670, intent=2.4748, rec=-0.0000, this epoch 0.8540, total 15.0435
(T) | Epoch=018, loss=9.4791, con=8.7253, intent=2.4705, rec=0.0000, this epoch 0.8935, total 15.9370
(T) | Epoch=019, loss=9.5947, con=8.8423, intent=2.4670, rec=0.0000, this epoch 0.8456, total 16.7826
(T) | Epoch=020, loss=9.6718, con=8.9209, intent=2.4640, rec=-0.0000, this epoch 0.8503, total 17.6329
(T) | Epoch=021, loss=9.6806, con=8.9309, intent=2.4613, rec=0.0000, this epoch 0.9317, total 18.5646
(T) | Epoch=022, loss=9.6736, con=8.9252, intent=2.4588, rec=0.0000, this epoch 0.8382, total 19.4028
(T) | Epoch=023, loss=9.6562, con=8.9088, intent=2.4566, rec=0.0000, this epoch 0.8437, total 20.2466
(T) | Epoch=024, loss=9.6258, con=8.8794, intent=2.4549, rec=0.0000, this epoch 0.9099, total 21.1564
(T) | Epoch=025, loss=9.5767, con=8.8311, intent=2.4535, rec=0.0000, this epoch 0.8532, total 22.0096
(T) | Epoch=026, loss=9.5057, con=8.7610, intent=2.4525, rec=0.0000, this epoch 0.8421, total 22.8516
(T) | Epoch=027, loss=9.4295, con=8.6854, intent=2.4520, rec=0.0000, this epoch 0.8544, total 23.7060
(T) | Epoch=028, loss=9.3055, con=8.5620, intent=2.4515, rec=-0.0000, this epoch 0.8559, total 24.5619
(T) | Epoch=029, loss=8.9692, con=8.2262, intent=2.4506, rec=0.0000, this epoch 0.8407, total 25.4026
(T) | Epoch=030, loss=9.0847, con=8.3423, intent=2.4494, rec=0.0000, this epoch 0.8547, total 26.2573
(T) | Epoch=031, loss=8.9665, con=8.2247, intent=2.4486, rec=0.0000, this epoch 0.8512, total 27.1086
(T) | Epoch=032, loss=8.7890, con=8.0477, intent=2.4481, rec=0.0000, this epoch 0.8333, total 27.9418
(T) | Epoch=033, loss=9.1996, con=8.4588, intent=2.4480, rec=0.0000, this epoch 0.8506, total 28.7925
(T) | Epoch=034, loss=9.2251, con=8.4849, intent=2.4475, rec=0.0000, this epoch 0.8453, total 29.6377
(T) | Epoch=035, loss=8.8115, con=8.0717, intent=2.4468, rec=0.0000, this epoch 0.8410, total 30.4787
(T) | Epoch=036, loss=8.7145, con=7.9748, intent=2.4466, rec=0.0000, this epoch 0.8892, total 31.3679
(T) | Epoch=037, loss=8.9935, con=8.2539, intent=2.4467, rec=0.0000, this epoch 0.8468, total 32.2147
(T) | Epoch=038, loss=9.1689, con=8.4294, intent=2.4468, rec=0.0000, this epoch 0.8492, total 33.0639
(T) | Epoch=039, loss=9.2050, con=8.4658, intent=2.4467, rec=0.0000, this epoch 0.8540, total 33.9179
(T) | Epoch=040, loss=9.1460, con=8.4074, intent=2.4465, rec=0.0000, this epoch 0.8445, total 34.7625
(T) | Epoch=041, loss=9.0046, con=8.2671, intent=2.4461, rec=0.0001, this epoch 0.9406, total 35.7031
(T) | Epoch=042, loss=8.8449, con=8.1144, intent=2.4458, rec=0.0006, this epoch 0.8761, total 36.5792
(T) | Epoch=043, loss=8.8709, con=8.1865, intent=2.4456, rec=0.0013, this epoch 0.8501, total 37.4293
(T) | Epoch=044, loss=8.9680, con=8.4315, intent=2.4457, rec=0.0024, this epoch 0.8473, total 38.2766
(T) | Epoch=045, loss=9.0771, con=8.5971, intent=2.4459, rec=0.0027, this epoch 0.8566, total 39.1332
(T) | Epoch=046, loss=9.2033, con=8.7092, intent=2.4460, rec=0.0023, this epoch 0.8383, total 39.9716
(T) | Epoch=047, loss=9.2742, con=8.7397, intent=2.4458, rec=0.0026, this epoch 0.8471, total 40.8186
(T) | Epoch=048, loss=9.3117, con=8.7272, intent=2.4455, rec=0.0029, this epoch 0.8535, total 41.6722
(T) | Epoch=049, loss=9.3103, con=8.6847, intent=2.4453, rec=0.0025, this epoch 0.8363, total 42.5085
(T) | Epoch=050, loss=9.2711, con=8.6160, intent=2.4451, rec=0.0031, this epoch 0.8464, total 43.3549
(T) | Epoch=051, loss=9.2063, con=8.5277, intent=2.4450, rec=0.0041, this epoch 0.8533, total 44.2081
(T) | Epoch=052, loss=9.1078, con=8.4125, intent=2.4450, rec=0.0044, this epoch 0.8468, total 45.0549
(T) | Epoch=053, loss=8.9825, con=8.2794, intent=2.4451, rec=0.0046, this epoch 0.9096, total 45.9646
(T) | Epoch=054, loss=8.8616, con=8.1575, intent=2.4452, rec=0.0058, this epoch 0.8502, total 46.8148
(T) | Epoch=055, loss=8.7795, con=8.0807, intent=2.4454, rec=0.0096, this epoch 0.8528, total 47.6676
(T) | Epoch=056, loss=8.8004, con=8.1133, intent=2.4457, rec=0.0203, this epoch 0.8484, total 48.5161
(T) | Epoch=057, loss=8.9414, con=8.2766, intent=2.4460, rec=0.0202, this epoch 0.8497, total 49.3657
(T) | Epoch=058, loss=9.0203, con=8.3808, intent=2.4461, rec=0.0187, this epoch 0.8464, total 50.2121
(T) | Epoch=059, loss=9.0192, con=8.4051, intent=2.4459, rec=0.0193, this epoch 0.8989, total 51.1110
(T) | Epoch=060, loss=8.9918, con=8.3966, intent=2.4456, rec=0.0301, this epoch 0.8479, total 51.9589
(T) | Epoch=061, loss=8.9738, con=8.3905, intent=2.4453, rec=0.0272, this epoch 0.9710, total 52.9299
(T) | Epoch=062, loss=8.9857, con=8.4014, intent=2.4452, rec=0.0466, this epoch 0.8761, total 53.8060
(T) | Epoch=063, loss=9.0059, con=8.4154, intent=2.4452, rec=0.0428, this epoch 0.8670, total 54.6730
(T) | Epoch=064, loss=9.0153, con=8.4152, intent=2.4453, rec=0.0412, this epoch 0.8687, total 55.5416
(T) | Epoch=065, loss=9.0312, con=8.4155, intent=2.4454, rec=0.0386, this epoch 0.9247, total 56.4663
(T) | Epoch=066, loss=9.0427, con=8.4088, intent=2.4453, rec=0.0321, this epoch 0.8670, total 57.3332
(T) | Epoch=067, loss=9.0567, con=8.4077, intent=2.4452, rec=0.0211, this epoch 0.8643, total 58.1976
(T) | Epoch=068, loss=9.0537, con=8.3906, intent=2.4451, rec=0.0353, this epoch 0.8661, total 59.0637
(T) | Epoch=069, loss=9.0257, con=8.3555, intent=2.4449, rec=0.0264, this epoch 0.8663, total 59.9300
(T) | Epoch=070, loss=8.9936, con=8.3160, intent=2.4448, rec=0.0238, this epoch 0.8674, total 60.7974
(T) | Epoch=071, loss=8.9437, con=8.2613, intent=2.4448, rec=0.0322, this epoch 0.8650, total 61.6624
(T) | Epoch=072, loss=8.8902, con=8.2074, intent=2.4448, rec=0.0248, this epoch 0.8601, total 62.5225
(T) | Epoch=073, loss=8.8344, con=8.1535, intent=2.4449, rec=0.0325, this epoch 0.8749, total 63.3974
(T) | Epoch=074, loss=8.7834, con=8.1065, intent=2.4449, rec=0.0367, this epoch 0.8655, total 64.2629
(T) | Epoch=075, loss=8.7467, con=8.0779, intent=2.4449, rec=0.0255, this epoch 0.8597, total 65.1226
(T) | Epoch=076, loss=8.7782, con=8.1193, intent=2.4449, rec=0.0203, this epoch 0.8766, total 65.9992
