(T) | Epoch=035, loss=8.8115, con=8.0717, intent=2.4468, rec=0.0000, this epoch 0.9009, total 32.3155
(T) | Epoch=036, loss=8.7145, con=7.9748, intent=2.4466, rec=0.0000, this epoch 0.9021, total 33.2176
(T) | Epoch=037, loss=8.9935, con=8.2539, intent=2.4467, rec=0.0000, this epoch 0.9589, total 34.1766
(T) | Epoch=038, loss=9.1689, con=8.4294, intent=2.4468, rec=0.0000, this epoch 0.8963, total 35.0728
(T) | Epoch=039, loss=9.2050, con=8.4658, intent=2.4467, rec=0.0000, this epoch 0.9003, total 35.9732
(T) | Epoch=040, loss=9.1460, con=8.4074, intent=2.4465, rec=0.0000, this epoch 0.8990, total 36.8722
(T) | Epoch=041, loss=9.0046, con=8.2671, intent=2.4461, rec=0.0001, this epoch 1.0120, total 37.8842
(T) | Epoch=042, loss=8.8449, con=8.1144, intent=2.4458, rec=0.0006, this epoch 0.9570, total 38.8412
(T) | Epoch=043, loss=8.8709, con=8.1865, intent=2.4456, rec=0.0013, this epoch 0.8955, total 39.7366
(T) | Epoch=044, loss=8.9680, con=8.4315, intent=2.4457, rec=0.0024, this epoch 0.8993, total 40.6359
(T) | Epoch=045, loss=9.0771, con=8.5971, intent=2.4459, rec=0.0027, this epoch 0.9072, total 41.5432
(T) | Epoch=046, loss=9.2033, con=8.7092, intent=2.4460, rec=0.0023, this epoch 0.8992, total 42.4423
(T) | Epoch=047, loss=9.2742, con=8.7397, intent=2.4458, rec=0.0026, this epoch 0.9010, total 43.3434
(T) | Epoch=048, loss=9.3117, con=8.7272, intent=2.4455, rec=0.0029, this epoch 0.9662, total 44.3096
(T) | Epoch=049, loss=9.3103, con=8.6847, intent=2.4453, rec=0.0025, this epoch 0.9119, total 45.2215
(T) | Epoch=050, loss=9.2711, con=8.6160, intent=2.4451, rec=0.0031, this epoch 0.9116, total 46.1331
(T) | Epoch=051, loss=9.2063, con=8.5277, intent=2.4450, rec=0.0041, this epoch 0.9127, total 47.0458
(T) | Epoch=052, loss=9.1078, con=8.4125, intent=2.4450, rec=0.0044, this epoch 0.9200, total 47.9659
(T) | Epoch=053, loss=8.9825, con=8.2794, intent=2.4451, rec=0.0046, this epoch 0.9374, total 48.9032
(T) | Epoch=054, loss=8.8616, con=8.1575, intent=2.4452, rec=0.0058, this epoch 0.9041, total 49.8073
(T) | Epoch=055, loss=8.7795, con=8.0807, intent=2.4454, rec=0.0096, this epoch 0.9115, total 50.7188
(T) | Epoch=056, loss=8.8004, con=8.1133, intent=2.4457, rec=0.0203, this epoch 0.9327, total 51.6516
(T) | Epoch=057, loss=8.9414, con=8.2766, intent=2.4460, rec=0.0202, this epoch 0.8969, total 52.5484
(T) | Epoch=058, loss=9.0203, con=8.3808, intent=2.4461, rec=0.0187, this epoch 0.9114, total 53.4598
(T) | Epoch=059, loss=9.0192, con=8.4051, intent=2.4459, rec=0.0193, this epoch 0.9069, total 54.3667
(T) | Epoch=060, loss=8.9918, con=8.3966, intent=2.4456, rec=0.0301, this epoch 0.8983, total 55.2650
(T) | Epoch=061, loss=8.9738, con=8.3905, intent=2.4453, rec=0.0272, this epoch 1.0021, total 56.2672
(T) | Epoch=062, loss=8.9857, con=8.4014, intent=2.4452, rec=0.0466, this epoch 0.9071, total 57.1743
(T) | Epoch=063, loss=9.0059, con=8.4154, intent=2.4452, rec=0.0428, this epoch 0.9282, total 58.1025
(T) | Epoch=064, loss=9.0153, con=8.4152, intent=2.4453, rec=0.0412, this epoch 0.9119, total 59.0144
(T) | Epoch=065, loss=9.0312, con=8.4155, intent=2.4454, rec=0.0386, this epoch 0.9061, total 59.9205
(T) | Epoch=066, loss=9.0427, con=8.4088, intent=2.4453, rec=0.0321, this epoch 0.8945, total 60.8150
(T) | Epoch=067, loss=9.0567, con=8.4077, intent=2.4452, rec=0.0211, this epoch 0.8980, total 61.7130
(T) | Epoch=068, loss=9.0537, con=8.3906, intent=2.4451, rec=0.0353, this epoch 0.8961, total 62.6091
(T) | Epoch=069, loss=9.0257, con=8.3555, intent=2.4449, rec=0.0264, this epoch 0.9327, total 63.5417
(T) | Epoch=070, loss=8.9936, con=8.3160, intent=2.4448, rec=0.0238, this epoch 0.9113, total 64.4531
(T) | Epoch=071, loss=8.9437, con=8.2613, intent=2.4448, rec=0.0322, this epoch 0.8969, total 65.3499
(T) | Epoch=072, loss=8.8902, con=8.2074, intent=2.4448, rec=0.0248, this epoch 0.9469, total 66.2968
(T) | Epoch=073, loss=8.8344, con=8.1535, intent=2.4449, rec=0.0325, this epoch 0.8932, total 67.1901
(T) | Epoch=074, loss=8.7834, con=8.1065, intent=2.4449, rec=0.0367, this epoch 0.8954, total 68.0855
(T) | Epoch=075, loss=8.7467, con=8.0779, intent=2.4449, rec=0.0255, this epoch 0.9139, total 68.9993
(T) | Epoch=076, loss=8.7782, con=8.1193, intent=2.4449, rec=0.0203, this epoch 0.9042, total 69.9035
(T) | Epoch=077, loss=8.8139, con=8.1643, intent=2.4448, rec=0.0179, this epoch 0.9088, total 70.8123
(T) | Epoch=078, loss=8.7879, con=8.1483, intent=2.4447, rec=0.0232, this epoch 0.9118, total 71.7241
(T) | Epoch=079, loss=8.7381, con=8.1058, intent=2.4447, rec=0.0226, this epoch 0.9617, total 72.6858
(T) | Epoch=080, loss=8.7588, con=8.1339, intent=2.4447, rec=0.0225, this epoch 0.9622, total 73.6480
(T) | Epoch=081, loss=8.8313, con=8.2088, intent=2.4447, rec=0.0303, this epoch 1.0164, total 74.6644
(T) | Epoch=082, loss=8.8926, con=8.2709, intent=2.4446, rec=0.0271, this epoch 0.9096, total 75.5740
(T) | Epoch=083, loss=8.9170, con=8.2907, intent=2.4446, rec=0.0200, this epoch 0.9119, total 76.4859
(T) | Epoch=084, loss=8.9003, con=8.2676, intent=2.4445, rec=0.0240, this epoch 0.9223, total 77.4082
(T) | Epoch=085, loss=8.8465, con=8.2039, intent=2.4445, rec=0.0285, this epoch 0.9221, total 78.3303
(T) | Epoch=086, loss=8.7664, con=8.1176, intent=2.4445, rec=0.0290, this epoch 0.9769, total 79.3072
(T) | Epoch=087, loss=8.6892, con=8.0315, intent=2.4445, rec=0.0328, this epoch 0.9119, total 80.2191
(T) | Epoch=088, loss=8.6690, con=8.0072, intent=2.4446, rec=0.0408, this epoch 0.9238, total 81.1429
(T) | Epoch=089, loss=8.7084, con=8.0451, intent=2.4447, rec=0.0329, this epoch 0.9085, total 82.0514
